time	number_of_nodes	target_number_of_nodes	cost_from_start	radius	number_of_orphans
3.359	194	100000	107.541	25.19	1
4.959	277	100000	101.611	23.9985	0
7.408	357	100000	100.983	23.1747	0
8.569	381	100000	99.3432	22.9668	0
10.41	429	100000	98.4751	22.5914	0
12.268	478	100000	88.0869	22.2533	0
14.186	528	100000	83.1143	21.9458	0
17.27	637	100000	76.8962	21.3748	0
25.751	967	100000	75.9363	20.1475	0
28.344	1056	100000	73.3381	19.8962	0
36.31	1331	100000	72.6508	19.248	0
40.029	1418	100000	70.1183	19.0738	0
81.203	2607	100000	68.817	17.4659	0
98.42	3126	100000	68.5652	17.0099	0
182.482	5154	100000	67.2958	15.8078	0
200.081	5480	100000	66.343	15.6657	0
234.897	6352	100000	65.7523	15.3283	0
269.704	7104	100000	64.5422	15.0769	0
